t_code,sovereign_id,ink,dimensions,surface_name,series_name,curatorial_hook,neon_reading,concept_tags,emotional_register,color_palette
T_281,666281,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_282,666282,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_283,666283,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_284,666284,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_285,666285,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_286,666286,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_287,666287,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_288,666288,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_289,666289,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_290,666290,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_291,666291,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_292,666292,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_293,666293,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_294,666294,,97x180cm,Red Star Mo Yun Bark,,,,,,
